match_date,competition,home_team,away_team,minute,minute_decimal,team,scorer,goal_type,source_url
2026-07-18,FIFA World Cup 3rd-place match,France,England,3,3.0,England,Declan Rice,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,18,18.0,England,Ezri Konsa,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,37,37.0,England,Bukayo Saka,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,45+1,45.5,England,Bukayo Saka,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,48,48.0,France,Kylian Mbappe,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,54,54.0,France,Bradley Barcola,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,66,66.0,France,Kylian Mbappe,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,87,87.0,England,Bukayo Saka,penalty,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,90+6,90.6,France,Ousmane Dembele,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
2026-07-18,FIFA World Cup 3rd-place match,France,England,90+8,90.8,England,Jude Bellingham,open play,https://www.11v11.com/matches/france-v-england-18-july-2026-393896/
