match_number,stage,team,opponent,match_duration,shirt_number,player,total_distance_m,zone1_distance_m,zone2_distance_m,zone3_distance_m,zone4_distance_m,zone5_distance_m,high_speed_runs,sprints,top_speed_kmh,passes_attempted,passes_completed,pass_completion_pct,switches_of_play,crosses_attempted,crosses_completed,line_breaks_attempted,line_breaks_completed,line_break_completion_pct,ball_progressions,take_ons,step_ins,attempts_at_goal,goals,total_offers,offers_in_front,offers_in_between,offers_out_to_in,offers_in_to_out,offers_in_behind,offers_no_movement,offers_received,tackles_made,tackles_won,blocks,interceptions,pressures_direct,pressures_indirect,duels_won_aerial,duels_won_physical,possession_contests_won,clearances,loose_ball_receptions,pushing_on,pushing_on_into_pressing,possession_regains,possession_interrupted,player_lineup,position,started,minutes,source_url,minutes_source_url,minutes_note,high_intensity_distance_m
22,Group stage,England,Croatia,90,1,Jordan Pickford,6162.9,4179.8,1707.2,181.4,86.5,7.9,18.0,7.0,26.4,62.0,48.0,77.0,0.0,0.0,0.0,19.0,8.0,42.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,8.0,1.0,Jordan Pickford,GK,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,94.4
22,Group stage,England,Croatia,90,2,Ezri Konsa,10244.1,4275.4,4175.7,1382.3,375.2,35.4,119.0,34.0,27.6,70.0,66.0,94.0,0.0,0.0,0.0,16.0,13.0,81.0,1.0,0.0,1.0,2.0,0.0,15.0,2.0,1.0,0.0,0.0,1.0,11.0,7.0,1,1,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,2.0,7.0,2.0,Ezri Konsa,DF,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,410.59999999999997
22,Group stage,England,Croatia,90,3,Nico Oreilly,10885.2,4078.5,4589.2,1393.7,578.2,245.7,117.0,43.0,33.1,48.0,44.0,92.0,0.0,0.0,0.0,10.0,9.0,90.0,5.0,2.0,3.0,2.0,0.0,41.0,16.0,6.0,3.0,0.0,5.0,11.0,16.0,2,0,2.0,1.0,3.0,25.0,1.0,0.0,1.0,2.0,4.0,20.0,17.0,5.0,1.0,Nico Oreilly,DF,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,823.9000000000001
22,Group stage,England,Croatia,90,4,Declan Rice,8754.0,2891.4,3805.5,1339.7,534.0,183.4,108.0,41.0,28.9,37.0,33.0,89.0,0.0,9.0,4.0,7.0,5.0,71.0,1.0,1.0,0.0,1.0,0.0,25.0,11.0,6.0,0.0,2.0,3.0,3.0,11.0,0,0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,2.0,27.0,13.0,2.0,0.0,Declan Rice,MF,True,72.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,717.4
22,Group stage,England,Croatia,90,5,John Stones,9455.6,3434.2,4062.7,1411.9,454.9,91.9,121.0,35.0,27.5,64.0,60.0,94.0,0.0,0.0,0.0,11.0,10.0,91.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2,1,3.0,0.0,1.0,4.0,3.0,0.0,3.0,0.0,2.0,15.0,1.0,4.0,3.0,John Stones,DF,True,87.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,546.8
22,Group stage,England,Croatia,90,6,Marc Guehi,1167.5,306.4,671.0,144.2,34.8,11.0,12.0,2.0,26.2,7.0,7.0,100.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,Marc Guehi,DF,False,3.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,45.8
22,Group stage,England,Croatia,90,7,Bukayo Saka,3035.5,961.3,1236.5,442.4,244.2,151.1,41.0,18.0,32.0,6.0,5.0,83.0,0.0,0.0,0.0,3.0,2.0,67.0,5.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0,0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,Bukayo Saka,FW,False,18.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,395.29999999999995
22,Group stage,England,Croatia,90,8,Elliot Anderson,12044.1,3501.4,5420.1,2256.3,708.5,157.8,187.0,54.0,29.1,52.0,47.0,90.0,0.0,1.0,1.0,9.0,6.0,67.0,1.0,0.0,1.0,1.0,0.0,86.0,39.0,11.0,2.0,3.0,5.0,26.0,32.0,6,3,1.0,1.0,12.0,22.0,3.0,0.0,4.0,4.0,7.0,36.0,15.0,8.0,2.0,Elliot Anderson,MF,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,866.3
22,Group stage,England,Croatia,90,9,Harry Kane,11480.1,3950.1,4938.6,1762.7,712.1,116.6,150.0,44.0,28.0,20.0,14.0,70.0,0.0,0.0,0.0,8.0,5.0,62.0,1.0,1.0,0.0,7.0,2.0,15.0,4.0,5.0,1.0,0.0,4.0,1.0,4.0,1,0,2.0,0.0,4.0,42.0,3.0,0.0,3.0,1.0,6.0,31.0,28.0,0.0,1.0,Harry Kane,FW,True,90.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,828.7
22,Group stage,England,Croatia,90,10,Jude Bellingham,9139.2,3595.9,2914.4,1534.2,766.0,328.6,126.0,58.0,32.0,22.0,18.0,82.0,0.0,1.0,0.0,7.0,4.0,57.0,3.0,3.0,0.0,3.0,1.0,36.0,4.0,19.0,0.0,3.0,8.0,2.0,5.0,3,0,1.0,0.0,1.0,16.0,1.0,0.0,3.0,1.0,3.0,21.0,6.0,4.0,1.0,Jude Bellingham,MF,True,80.0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,Paired substitution times on the FIFA PMSR team-summary page.,1094.6
