match_number,stage,team,opponent,match_duration,source_url,total_distance_m,zone3_distance_m,zone4_distance_m,zone5_distance_m,high_intensity_distance_m,high_speed_runs,sprints,attempts_at_goal,goals,pressures_direct,pressures_indirect,offers_in_behind,minutes,total_distance_m_per90,zone3_distance_m_per90,zone4_distance_m_per90,zone5_distance_m_per90,high_intensity_distance_m_per90,high_speed_runs_per90,sprints_per90,pressures_direct_per90,pressures_indirect_per90,offers_in_behind_per90
22,Group stage,England,Croatia,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,116982.40000000001,16894.7,6603.9,2695.0,9298.9,1425.0,510.0,22.0,4.0,38.0,224.0,91.0,990.0,116982.40000000001,16894.7,6603.9,2695.0,9298.9,1425.0,510.0,38.0,224.0,91.0
45,Group stage,England,Ghana,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M45-ENG-V-GHA.pdf,108276.8,12617.8,5134.6,2336.9,7471.5,1094.0,419.0,19.0,0.0,39.0,66.0,115.0,990.0,108276.8,12617.799999999997,5134.6,2336.9,7471.5,1094.0,419.00000000000006,39.0,66.0,114.99999999999999
67,Group stage,England,Panama,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M67-PAN-V-ENG.pdf,115205.4,15921.1,7552.6,3169.6,10722.2,1342.0,576.0,17.0,2.0,46.0,182.0,129.0,990.0,115205.4,15921.1,7552.6,3169.6,10722.2,1342.0,576.0,46.0,182.0,129.0
80,Round of 32,England,Congo DR,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M80-ENG-V-COD.pdf,115499.9,14772.7,5933.8,2329.1,8262.9,1250.0,459.0,16.0,2.0,44.0,202.0,133.0,990.0,115499.89999999998,14772.7,5933.799999999999,2329.1,8262.9,1250.0,458.99999999999994,44.0,202.0,133.0
92,Round of 16,England,Mexico,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M92-MEX-V-ENG.pdf,106741.8,12331.9,3863.9,1359.7,5223.6,1065.0,305.0,6.0,3.0,36.0,207.0,36.0,990.0,106741.8,12331.9,3863.9,1359.7,5223.6,1065.0,305.0,36.0,206.99999999999997,36.0
99,Quarter-final,England,Norway,120,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M99-NOR-V-ENG.pdf,140792.9,15792.3,5493.5,1954.0,7447.5,1334.0,442.0,14.0,2.0,51.0,253.0,100.0,1320.0,105594.67499999999,11844.224999999999,4120.125,1465.5000000000002,5585.625,1000.5,331.5,38.25,189.75,75.0
102,Semi-final,England,Argentina,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M102-ENG-V-ARG.pdf,107653.7,13737.1,4891.8,2067.8,6959.599999999999,1154.0,405.0,5.0,1.0,40.0,280.0,74.0,990.0,107653.7,13737.1,4891.8,2067.8,6959.599999999999,1154.0,405.0,40.0,280.0,74.0
103,Third-place,England,France,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M103-FRA-V-ENG.pdf,107715.1,12218.6,5811.3,2579.3,8390.6,1035.0,421.0,19.0,6.0,44.0,179.0,79.0,990.0,107715.1,12218.6,5811.300000000001,2579.3,8390.6,1035.0,421.0,44.0,179.0,79.0
17,Group stage,France,Senegal,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M17-FRA-V-SEN.pdf,120179.6,15676.9,6989.1,2824.4,9813.5,1339.0,533.0,11.0,3.0,49.0,228.0,100.0,990.0,120179.6,15676.9,6989.1,2824.4,9813.5,1339.0,533.0,48.99999999999999,228.0,100.0
42,Group stage,France,Iraq,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M42-FRA-V-IRQ.pdf,107706.1,12838.9,4663.8,1741.2,6405.0,1113.0,374.0,19.0,3.0,35.0,222.0,94.0,990.0,107706.1,12838.9,4663.8,1741.2,6405.0,1113.0,374.00000000000006,35.0,222.0,94.0
61,Group stage,France,Norway,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M61-NOR-V-FRA.pdf,109120.6,13690.6,5564.0,2371.8,7935.8,1178.0,420.0,18.0,4.0,45.0,189.0,90.0,990.0,109120.6,13690.6,5564.0,2371.8,7935.8,1178.0,420.0,45.0,189.0,90.0
77,Round of 32,France,Sweden,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M77-FRA-V-SWE.pdf,107680.8,12198.2,4860.5,2026.3,6886.8,1045.0,368.0,25.0,3.0,38.0,175.0,105.0,990.0,107680.8,12198.2,4860.5,2026.3,6886.799999999999,1045.0,368.0,38.0,175.0,105.0
89,Round of 16,France,Paraguay,90,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M89-PAR-V-FRA.pdf,104833.5,12082.7,4312.4,1548.6000000000001,5861.0,986.0,319.0,15.0,1.0,23.0,72.0,81.0,990.0,104833.5,12082.7,4312.4,1548.6000000000001,5861.0,986.0,319.0,23.0,72.0,81.0
