match_number,stage,left_team,left_code,right_team,right_code,left_goals,right_goals,total_goals,half_time_total_goals,went_to_extra_time,penalty_shootout,match_duration_minutes,referee,total_fouls,total_yellow_cards,total_second_yellow_reds,total_direct_reds,total_card_events,fair_play_penalty_points,cards_per_10_fouls,asset_id,source_url
1,Group stage,Mexico,MEX,South Africa,RSA,2,0,2,1,False,False,90,SAMPAIO Wilton (BRA),23,3,0,3,6,15,2.608695652173913,12452,https://fdp.fifa.org/assetspublic/ce281/r12452/pdf/FullTimeMatchReport-English.pdf
2,Group stage,Korea Republic,KOR,Czechia,CZE,2,1,3,0,False,False,90,MOHAMED Amin (EGY),25,1,0,0,1,1,0.4,12450,https://fdp.fifa.org/assetspublic/ce281/r12450/pdf/FullTimeMatchReport-English.pdf
3,Group stage,Canada,CAN,Bosnia and Herzegovina,BIH,1,1,2,1,False,False,90,TELLO Facundo (ARG),30,5,0,0,5,5,1.6666666666666667,12458,https://fdp.fifa.org/assetspublic/ce281/r12458/pdf/FullTimeMatchReport-English.pdf
4,Group stage,USA,USA,Paraguay,PAR,4,1,5,3,False,False,90,MAKKELIE Danny (NED),30,6,0,0,6,6,2.0,12467,https://fdp.fifa.org/assetspublic/ce281/r12467/pdf/FullTimeMatchReport-English.pdf
5,Group stage,Haiti,HAI,Scotland,SCO,0,1,1,1,False,False,90,GHORBAL Mustapha (ALG),44,4,0,0,4,4,0.9090909090909091,12462,https://fdp.fifa.org/assetspublic/ce281/r12462/pdf/FullTimeMatchReport-English.pdf
6,Group stage,Australia,AUS,Türkiye,TUR,2,0,2,1,False,False,90,VALENZUELA Jesus (VEN),16,1,0,0,1,1,0.625,12472,https://fdp.fifa.org/assetspublic/ce281/r12472/pdf/FullTimeMatchReport-English.pdf
7,Group stage,Brazil,BRA,Morocco,MAR,1,1,2,2,False,False,90,VINCIC Slavko (SVN),30,2,0,0,2,2,0.6666666666666666,12465,https://fdp.fifa.org/assetspublic/ce281/r12465/pdf/FullTimeMatchReport-English.pdf
8,Group stage,Qatar,QAT,Switzerland,SUI,1,1,2,1,False,False,90,MARTINEZ Said (HON),23,3,0,0,3,3,1.3043478260869565,12456,https://fdp.fifa.org/assetspublic/ce281/r12456/pdf/FullTimeMatchReport-English.pdf
9,Group stage,Côte d'Ivoire,CIV,Ecuador,ECU,1,0,1,0,False,False,90,LETEXIER Francois (FRA),23,4,0,0,4,4,1.7391304347826086,12476,https://fdp.fifa.org/assetspublic/ce281/r12476/pdf/FullTimeMatchReport-English.pdf
10,Group stage,Germany,GER,Curaçao,CUW,7,1,8,4,False,False,90,JAYED Jalal (MAR),29,0,0,0,0,0,0.0,12473,https://fdp.fifa.org/assetspublic/ce281/r12473/pdf/FullTimeMatchReport-English.pdf
11,Group stage,Netherlands,NED,Japan,JPN,2,2,4,0,False,False,90,ELFATH Ismail (USA),14,3,0,0,3,3,2.142857142857143,12480,https://fdp.fifa.org/assetspublic/ce281/r12480/pdf/FullTimeMatchReport-English.pdf
12,Group stage,Sweden,SWE,Tunisia,TUN,5,1,6,3,False,False,90,FALCON PEREZ Yael (ARG),18,1,0,0,1,1,0.5555555555555556,12484,https://fdp.fifa.org/assetspublic/ce281/r12484/pdf/FullTimeMatchReport-English.pdf
13,Group stage,Saudi Arabia,KSA,Uruguay,URU,1,1,2,1,False,False,90,MARIANI Maurizio (ITA),17,1,0,0,1,1,0.5882352941176471,12495,https://fdp.fifa.org/assetspublic/ce281/r12495/pdf/FullTimeMatchReport-English.pdf
14,Group stage,Spain,ESP,Cabo Verde,CPV,0,0,0,0,False,False,90,MAKHADMEH Adham (JOR),11,2,0,0,2,2,1.8181818181818181,12492,https://fdp.fifa.org/assetspublic/ce281/r12492/pdf/FullTimeMatchReport-English.pdf
15,Group stage,IR Iran,IRN,New Zealand,NZL,2,2,4,2,False,False,90,RAMOS Cesar (MEX),18,1,0,0,1,1,0.5555555555555556,12485,https://fdp.fifa.org/assetspublic/ce281/r12485/pdf/FullTimeMatchReport-English.pdf
16,Group stage,Belgium,BEL,Egypt,EGY,1,1,2,1,False,False,90,ABATTI Ramon (BRA),30,4,0,0,4,4,1.3333333333333333,12488,https://fdp.fifa.org/assetspublic/ce281/r12488/pdf/FullTimeMatchReport-English.pdf
17,Group stage,France,FRA,Senegal,SEN,3,1,4,0,False,False,90,FAGHANI Alireza (AUS),14,0,0,0,0,0,0.0,12499,https://fdp.fifa.org/assetspublic/ce281/r12499/pdf/FullTimeMatchReport-English.pdf
18,Group stage,Iraq,IRQ,Norway,NOR,1,4,5,3,False,False,90,ATCHO Pierre (GAB),25,1,0,0,1,1,0.4,12497,https://fdp.fifa.org/assetspublic/ce281/r12497/pdf/FullTimeMatchReport-English.pdf
19,Group stage,Argentina,ARG,Algeria,ALG,3,0,3,1,False,False,90,MARCINIAK Szymon (POL),21,0,0,0,0,0,0.0,12506,https://fdp.fifa.org/assetspublic/ce281/r12506/pdf/FullTimeMatchReport-English.pdf
20,Group stage,Austria,AUT,Jordan,JOR,3,1,4,1,False,False,90,BEIDA Dahane (MTN),19,1,0,0,1,1,0.5263157894736842,12508,https://fdp.fifa.org/assetspublic/ce281/r12508/pdf/FullTimeMatchReport-English.pdf
21,Group stage,Ghana,GHA,Panama,PAN,1,0,1,0,False,False,90,NYBERG Glenn (SWE),20,3,0,0,3,3,1.5,12519,https://fdp.fifa.org/assetspublic/ce281/r12519/pdf/FullTimeMatchReport-English.pdf
22,Group stage,England,ENG,Croatia,CRO,4,2,6,4,False,False,90,TURPIN Clement (FRA),22,0,0,0,0,0,0.0,12516,https://fdp.fifa.org/assetspublic/ce281/r12516/pdf/FullTimeMatchReport-English.pdf
23,Group stage,Portugal,POR,Congo DR,COD,1,1,2,2,False,False,90,ALJASSIM Abdulrahman (QAT),19,4,0,0,4,4,2.1052631578947367,12511,https://fdp.fifa.org/assetspublic/ce281/r12511/pdf/FullTimeMatchReport-English.pdf
24,Group stage,Uzbekistan,UZB,Colombia,COL,1,3,4,1,False,False,90,TAYLOR Anthony (ENG),25,2,0,0,2,2,0.8,12513,https://fdp.fifa.org/assetspublic/ce281/r12513/pdf/FullTimeMatchReport-English.pdf
25,Group stage,Czechia,CZE,South Africa,RSA,1,1,2,1,False,False,90,PENSO Tori (USA),22,3,0,0,3,3,1.3636363636363635,12449,https://fdp.fifa.org/assetspublic/ce281/r12449/pdf/FullTimeMatchReport-English.pdf
26,Group stage,Switzerland,SUI,Bosnia and Herzegovina,BIH,4,1,5,0,False,False,90,PINHEIRO Joao (POR),25,3,0,1,4,7,1.6,12455,https://fdp.fifa.org/assetspublic/ce281/r12455/pdf/FullTimeMatchReport-English.pdf
27,Group stage,Canada,CAN,Qatar,QAT,6,0,6,3,False,False,90,GARAY Cristian (CHI),19,2,0,2,4,10,2.1052631578947367,12459,https://fdp.fifa.org/assetspublic/ce281/r12459/pdf/FullTimeMatchReport-English.pdf
28,Group stage,Mexico,MEX,Korea Republic,KOR,1,0,1,0,False,False,90,TEJERA Gustavo (URU),16,2,0,0,2,2,1.25,12451,https://fdp.fifa.org/assetspublic/ce281/r12451/pdf/FullTimeMatchReport-English.pdf
29,Group stage,Brazil,BRA,Haiti,HAI,3,0,3,3,False,False,90,HERNANDEZ Alejandro (ESP),28,4,0,0,4,4,1.4285714285714286,12466,https://fdp.fifa.org/assetspublic/ce281/r12466/pdf/FullTimeMatchReport-English.pdf
30,Group stage,Scotland,SCO,Morocco,MAR,0,1,1,1,False,False,90,TANTASHEV Ilgiz (UZB),19,2,0,0,2,2,1.0526315789473684,12463,https://fdp.fifa.org/assetspublic/ce281/r12463/pdf/FullTimeMatchReport-English.pdf
31,Group stage,Türkiye,TUR,Paraguay,PAR,0,1,1,1,False,False,90,BARTON Ivan (SLV),29,4,0,1,5,8,1.7241379310344827,12470,https://fdp.fifa.org/assetspublic/ce281/r12470/pdf/FullTimeMatchReport-English.pdf
32,Group stage,USA,USA,Australia,AUS,2,0,2,2,False,False,90,ZWAYER Felix (GER),28,7,0,0,7,7,2.5,12471,https://fdp.fifa.org/assetspublic/ce281/r12471/pdf/FullTimeMatchReport-English.pdf
33,Group stage,Germany,GER,Côte d'Ivoire,CIV,2,1,3,1,False,False,90,BENITEZ Juan Gabriel (PAR),12,0,0,0,0,0,0.0,12478,https://fdp.fifa.org/assetspublic/ce281/r12478/pdf/FullTimeMatchReport-English.pdf
34,Group stage,Ecuador,ECU,Curaçao,CUW,0,0,0,0,False,False,90,MA Ning (CHN),17,6,0,0,6,6,3.5294117647058822,12474,https://fdp.fifa.org/assetspublic/ce281/r12474/pdf/FullTimeMatchReport-English.pdf
35,Group stage,Netherlands,NED,Sweden,SWE,5,1,6,2,False,False,90,OLIVER Michael (ENG),21,3,0,0,3,3,1.4285714285714286,12481,https://fdp.fifa.org/assetspublic/ce281/r12481/pdf/FullTimeMatchReport-English.pdf
36,Group stage,Tunisia,TUN,Japan,JPN,0,4,4,2,False,False,90,KOVACS Istvan (ROU),23,0,0,0,0,0,0.0,12483,https://fdp.fifa.org/assetspublic/ce281/r12483/pdf/FullTimeMatchReport-English.pdf
37,Group stage,Uruguay,URU,Cabo Verde,CPV,2,2,4,3,False,False,90,ESKAS Espen (NOR),15,4,0,0,4,4,2.6666666666666665,12496,https://fdp.fifa.org/assetspublic/ce281/r12496/pdf/FullTimeMatchReport-English.pdf
