match_number,tournament_name,year,team_name,opponent_team_name,penalties_awarded,team_possession_pct,contested_possession_pct,goals,xg,attempts_at_goal,shots_on_target,total_passes,completed_passes,pass_completion_pct,completed_line_breaks,defensive_line_breaks,receptions_final_third,crosses,ball_progressions,defensive_pressures,direct_pressures,forced_turnovers,second_balls,source_name,source_version,source_url,stage
1,2026 FIFA World Cup,2026,Mexico,South Africa,0.0,57.1,6.8,2,1.78,16,4,547,495,90,105,10,117,13,23,170,26,31,56,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01%20MEX%20V%20RSA.pdf,Group stage
1,2026 FIFA World Cup,2026,South Africa,Mexico,0.0,36.1,6.8,0,0.1,3,2,351,290,83,57,3,36,8,8,306,45,32,45,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01%20MEX%20V%20RSA.pdf,Group stage
2,2026 FIFA World Cup,2026,Czechia,Korea Republic,0.0,34.2,10.1,1,0.64,7,4,327,241,74,54,5,77,15,10,301,54,40,78,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02%20KOR%20V%20CZE%20.pdf,Group stage
2,2026 FIFA World Cup,2026,Korea Republic,Czechia,0.0,55.8,10.1,2,1.77,15,6,542,483,89,92,10,125,17,27,147,22,30,49,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02%20KOR%20V%20CZE%20.pdf,Group stage
3,2026 FIFA World Cup,2026,Bosnia and Herzegovina,Canada,0.0,29.9,17.3,1,0.76,8,3,279,186,67,61,4,51,8,22,203,35,51,79,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,Group stage
3,2026 FIFA World Cup,2026,Canada,Bosnia and Herzegovina,0.0,52.8,17.3,1,1.49,13,4,412,316,77,84,16,143,30,30,160,38,50,94,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,Group stage
4,2026 FIFA World Cup,2026,Paraguay,USA,0.0,28.7,11.8,1,0.6,9,1,316,234,74,53,3,31,5,17,360,75,49,55,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,Group stage
4,2026 FIFA World Cup,2026,USA,Paraguay,0.0,59.5,11.8,4,1.88,16,6,602,520,86,129,25,201,23,52,204,39,50,101,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,Group stage
5,2026 FIFA World Cup,2026,Haiti,Scotland,0.0,51.6,7.9,0,0.7,15,2,431,378,88,84,4,116,26,24,185,35,29,53,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,Group stage
5,2026 FIFA World Cup,2026,Scotland,Haiti,0.0,40.5,7.9,1,0.91,9,2,397,324,82,86,6,77,16,21,230,39,35,52,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,Group stage
6,2026 FIFA World Cup,2026,Australia,Türkiye,0.0,27.0,10.1,2,0.99,9,4,293,224,76,56,10,68,14,22,384,57,35,62,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf,Group stage
6,2026 FIFA World Cup,2026,Türkiye,Australia,0.0,62.9,10.1,0,1.66,30,7,722,663,92,132,15,348,28,38,170,31,30,87,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf,Group stage
7,2026 FIFA World Cup,2026,Brazil,Morocco,0.0,46.7,8.1,1,0.99,12,5,514,457,89,89,11,100,19,30,315,54,41,56,FIFA Post-Match Summary Report,pmsr_match_summary_v1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M07-BRA-V-MAR.pdf,Group stage
