team,team_code,opponent,opponent_code,side,goals_for,goals_against,possession_pct,attempts_at_goal,shots_on_target,attempts_blocked,fouls_committed,fouls_suffered,corners,direct_free_kicks_awarded,indirect_free_kicks_awarded,penalties_awarded,penalties_scored,offsides,own_goals,yellow_cards,second_yellow_reds,direct_reds,match_number,stage,referee,asset_id,source_url,card_events,fair_play_penalty_points,cards_per_10_fouls,fouls_committed_per90,card_events_per90
Mexico,MEX,South Africa,RSA,left,2,0,61,16,4,4,12,11,3,11,1,0,0,1,0,1,0,1,1,Group stage,SAMPAIO Wilton (BRA),12452,https://fdp.fifa.org/assetspublic/ce281/r12452/pdf/FullTimeMatchReport-English.pdf,2,5,1.6666666666666667,12.0,2.0
South Africa,RSA,Mexico,MEX,right,0,2,39,3,2,0,11,12,1,12,1,0,0,1,0,2,0,2,1,Group stage,SAMPAIO Wilton (BRA),12452,https://fdp.fifa.org/assetspublic/ce281/r12452/pdf/FullTimeMatchReport-English.pdf,4,10,3.6363636363636362,11.0,4.0
Korea Republic,KOR,Czechia,CZE,left,2,1,62,15,6,4,10,15,4,14,3,0,0,2,0,1,0,0,2,Group stage,MOHAMED Amin (EGY),12450,https://fdp.fifa.org/assetspublic/ce281/r12450/pdf/FullTimeMatchReport-English.pdf,1,1,1.0,10.0,1.0
Czechia,CZE,Korea Republic,KOR,right,1,2,38,6,4,0,15,10,5,10,2,0,0,2,0,0,0,0,2,Group stage,MOHAMED Amin (EGY),12450,https://fdp.fifa.org/assetspublic/ce281/r12450/pdf/FullTimeMatchReport-English.pdf,0,0,0.0,15.0,0.0
Canada,CAN,Bosnia and Herzegovina,BIH,left,1,1,61,13,4,2,10,20,9,20,0,0,0,1,0,2,0,0,3,Group stage,TELLO Facundo (ARG),12458,https://fdp.fifa.org/assetspublic/ce281/r12458/pdf/FullTimeMatchReport-English.pdf,2,2,2.0,10.0,2.0
Bosnia and Herzegovina,BIH,Canada,CAN,right,1,1,39,8,3,0,20,10,4,10,1,0,0,0,0,3,0,0,3,Group stage,TELLO Facundo (ARG),12458,https://fdp.fifa.org/assetspublic/ce281/r12458/pdf/FullTimeMatchReport-English.pdf,3,3,1.5,20.0,3.0
USA,USA,Paraguay,PAR,left,4,1,65,16,6,3,13,17,3,16,2,0,0,2,0,1,0,0,4,Group stage,MAKKELIE Danny (NED),12467,https://fdp.fifa.org/assetspublic/ce281/r12467/pdf/FullTimeMatchReport-English.pdf,1,1,0.7692307692307693,13.0,1.0
Paraguay,PAR,USA,USA,right,1,4,35,9,1,4,17,13,1,13,2,0,0,1,1,5,0,0,4,Group stage,MAKKELIE Danny (NED),12467,https://fdp.fifa.org/assetspublic/ce281/r12467/pdf/FullTimeMatchReport-English.pdf,5,5,2.9411764705882355,17.0,5.0
Haiti,HAI,Scotland,SCO,left,0,1,52,15,2,4,23,21,4,21,2,0,0,3,0,1,0,0,5,Group stage,GHORBAL Mustapha (ALG),12462,https://fdp.fifa.org/assetspublic/ce281/r12462/pdf/FullTimeMatchReport-English.pdf,1,1,0.43478260869565216,23.0,1.0
Scotland,SCO,Haiti,HAI,right,1,0,48,9,2,2,21,23,3,23,3,0,0,1,0,3,0,0,5,Group stage,GHORBAL Mustapha (ALG),12462,https://fdp.fifa.org/assetspublic/ce281/r12462/pdf/FullTimeMatchReport-English.pdf,3,3,1.4285714285714286,21.0,3.0
