year,competition,team_a,team_b,team_a_goals,team_b_goals,penalty_shootout,source_url
2006,Soccer Aid for UNICEF,England,Rest of the World,2,1,0,https://en.wikipedia.org/wiki/Soccer_Aid
2008,Soccer Aid for UNICEF,England,Rest of the World,4,3,0,https://en.wikipedia.org/wiki/Soccer_Aid
2010,Soccer Aid for UNICEF,Rest of the World,England,2,2,1,https://en.wikipedia.org/wiki/Soccer_Aid
2012,Soccer Aid for UNICEF,England,Rest of the World,3,1,0,https://en.wikipedia.org/wiki/Soccer_Aid
2014,Soccer Aid for UNICEF,Rest of the World,England,4,2,0,https://en.wikipedia.org/wiki/Soccer_Aid
2016,Soccer Aid for UNICEF,England,Rest of the World,3,2,0,https://en.wikipedia.org/wiki/Soccer_Aid
2018,Soccer Aid for UNICEF,England,World XI,3,3,1,https://en.wikipedia.org/wiki/Soccer_Aid
2019,Soccer Aid for UNICEF,World XI,England,2,2,1,https://en.wikipedia.org/wiki/Soccer_Aid
2020,Soccer Aid for UNICEF,World XI,England,1,1,1,https://en.wikipedia.org/wiki/Soccer_Aid
2021,Soccer Aid for UNICEF,World XI,England,3,0,0,https://en.wikipedia.org/wiki/Soccer_Aid
2022,Soccer Aid for UNICEF,World XI,England,2,2,1,https://en.wikipedia.org/wiki/Soccer_Aid
2023,Soccer Aid for UNICEF,World XI,England,4,2,0,https://en.wikipedia.org/wiki/Soccer_Aid
2024,Soccer Aid for UNICEF,England,World XI,6,3,0,https://www.socceraid.org.uk/2024-match-report/
2025,Soccer Aid for UNICEF,World XI,England,5,4,0,https://www.socceraid.org.uk/2025-match-report/
2026,Soccer Aid for UNICEF,England,World XI,3,2,0,https://www.unicef.org.uk/press-releases/soccer-aid-for-unicef-2026-raises-a-record-16-million-for-children-around-the-world-20th-anniversary-match-a-sell-out-success-at-london-stadium/
