sample_type,event_family,source_provider,match_number,is_holdout,total_goals,total_shots,shots_on_target,total_fouls,yellow_cards
Official World Cup,2026 FIFA World Cup,FIFA,1,False,2,19.0,6.0,23.0,3.0
Official World Cup,2026 FIFA World Cup,FIFA,2,False,3,22.0,10.0,25.0,1.0
Official World Cup,2026 FIFA World Cup,FIFA,3,False,2,21.0,7.0,30.0,5.0
Official World Cup,2026 FIFA World Cup,FIFA,4,False,5,25.0,7.0,30.0,6.0
Official World Cup,2026 FIFA World Cup,FIFA,5,False,1,24.0,4.0,44.0,4.0
Official World Cup,2026 FIFA World Cup,FIFA,6,False,2,39.0,11.0,16.0,1.0
Official World Cup,2026 FIFA World Cup,FIFA,7,False,2,26.0,8.0,30.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,8,False,2,32.0,10.0,23.0,3.0
Official World Cup,2026 FIFA World Cup,FIFA,9,False,1,27.0,5.0,23.0,4.0
Official World Cup,2026 FIFA World Cup,FIFA,10,False,8,34.0,14.0,29.0,0.0
Official World Cup,2026 FIFA World Cup,FIFA,11,False,4,19.0,8.0,14.0,3.0
Official World Cup,2026 FIFA World Cup,FIFA,12,False,6,19.0,9.0,18.0,1.0
Official World Cup,2026 FIFA World Cup,FIFA,13,False,2,34.0,13.0,17.0,1.0
Official World Cup,2026 FIFA World Cup,FIFA,14,False,0,33.0,8.0,11.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,15,False,4,31.0,12.0,18.0,1.0
Official World Cup,2026 FIFA World Cup,FIFA,16,False,2,29.0,7.0,30.0,4.0
Official World Cup,2026 FIFA World Cup,FIFA,17,False,4,17.0,10.0,14.0,0.0
Official World Cup,2026 FIFA World Cup,FIFA,18,False,5,22.0,6.0,25.0,1.0
Official World Cup,2026 FIFA World Cup,FIFA,19,False,3,17.0,7.0,21.0,0.0
Official World Cup,2026 FIFA World Cup,FIFA,20,False,4,21.0,8.0,19.0,1.0
Official World Cup,2026 FIFA World Cup,FIFA,21,False,1,18.0,6.0,20.0,3.0
Official World Cup,2026 FIFA World Cup,FIFA,22,False,6,32.0,16.0,22.0,0.0
Official World Cup,2026 FIFA World Cup,FIFA,23,False,2,15.0,3.0,19.0,4.0
Official World Cup,2026 FIFA World Cup,FIFA,24,False,4,23.0,6.0,25.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,25,False,2,31.0,7.0,22.0,3.0
Official World Cup,2026 FIFA World Cup,FIFA,26,False,5,18.0,10.0,25.0,3.0
Official World Cup,2026 FIFA World Cup,FIFA,27,False,6,35.0,11.0,19.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,28,False,1,17.0,6.0,16.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,29,False,3,14.0,7.0,28.0,4.0
Official World Cup,2026 FIFA World Cup,FIFA,30,False,1,18.0,2.0,19.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,31,False,1,39.0,7.0,29.0,4.0
Official World Cup,2026 FIFA World Cup,FIFA,32,False,2,15.0,4.0,28.0,7.0
Official World Cup,2026 FIFA World Cup,FIFA,33,False,3,25.0,9.0,12.0,0.0
Official World Cup,2026 FIFA World Cup,FIFA,34,False,0,37.0,18.0,17.0,6.0
Official World Cup,2026 FIFA World Cup,FIFA,35,False,6,26.0,15.0,21.0,3.0
Official World Cup,2026 FIFA World Cup,FIFA,36,False,4,12.0,4.0,23.0,0.0
Official World Cup,2026 FIFA World Cup,FIFA,37,False,4,29.0,6.0,15.0,4.0
Official World Cup,2026 FIFA World Cup,FIFA,38,False,4,25.0,10.0,12.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,39,False,0,30.0,10.0,16.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,40,False,4,30.0,12.0,22.0,3.0
Official World Cup,2026 FIFA World Cup,FIFA,41,False,5,29.0,11.0,18.0,0.0
Official World Cup,2026 FIFA World Cup,FIFA,42,False,3,23.0,5.0,12.0,1.0
Official World Cup,2026 FIFA World Cup,FIFA,43,False,2,18.0,6.0,26.0,4.0
Official World Cup,2026 FIFA World Cup,FIFA,44,False,3,25.0,12.0,17.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,45,False,0,21.0,3.0,38.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,46,False,1,14.0,3.0,31.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,47,False,5,24.0,11.0,30.0,2.0
Official World Cup,2026 FIFA World Cup,FIFA,48,False,1,27.0,10.0,28.0,3.0
