time_bin,gap_bin,goals,exposure_minutes,goals_per_minute
16–30,0,222,8953,0.024796157712498604
16–30,1,133,4776,0.027847571189279732
16–30,2,25,627,0.03987240829346093
16–30,3+,9,104,0.08653846153846154
1–15,0,299,12497,0.02392574217812275
1–15,1,45,1863,0.024154589371980676
1–15,2,4,89,0.0449438202247191
1–15,3+,1,11,0.09090909090909091
31–45,0,178,7117,0.025010538148096107
31–45,1,156,5641,0.02765467115759617
31–45,2,52,1285,0.04046692607003891
31–45,3+,21,417,0.050359712230215826
46–60,0,163,5779,0.028205571898252294
46–60,1,186,5995,0.031025854879065888
46–60,2,57,1879,0.03033528472591804
46–60,3+,36,807,0.04460966542750929
61–75,0,128,4809,0.02661676024121439
61–75,1,185,5784,0.03198478561549101
61–75,2,105,2460,0.042682926829268296
61–75,3+,65,1407,0.04619758351101635
76–90,0,140,4010,0.034912718204488775
76–90,1,205,5663,0.03619989404909059
76–90,2,113,2697,0.041898405635891735
76–90,3+,121,2090,0.05789473684210526
